timestamp,I_y,PF,e_PF,d_if,I_f,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub
"2024-12-19T07:56:07.097242+00:00","5.72","0.97","0.16","0.31","1.89","2024-12-19T07:57:26.1363531Z","1","2024-12-19T07:56:07.4090000Z","Record"
"2024-12-19T07:56:07.097511+00:00","4.22","0.65","0.09","0.58","1.41","2024-12-19T07:57:26.2335219Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.097590+00:00","3.79","0.75","0.29","0.45","1.26","2024-12-19T07:57:26.2353151Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.097658+00:00","3.07","0.92","0.28","0.38","1.23","2024-12-19T07:57:26.2354629Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.097731+00:00","5.06","0.98","0","0.3","1.6","2024-12-19T07:57:26.2355308Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.097794+00:00","5.51","0.95","0.22","0.42","1.6","2024-12-19T07:57:26.2360432Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.097860+00:00","5.34","0.7","0.22","0.37","1.37","2024-12-19T07:57:26.2361070Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098062+00:00","4.81","0.99","0.32","0.71","1.78","2024-12-19T07:57:26.2361755Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098130+00:00","3.83","0.84","0.16","0.45","1.7","2024-12-19T07:57:26.2362373Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098198+00:00","3.3","0.91","0.08","0.65","1.93","2024-12-19T07:57:26.2362776Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098261+00:00","5.55","0.98","0.28","0.47","1.72","2024-12-19T07:57:26.2363174Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098324+00:00","3.36","0.87","0.19","0.08","1.9","2024-12-19T07:57:26.2363555Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098382+00:00","3.19","0.91","0.11","0.5","1.49","2024-12-19T07:57:26.2363963Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098446+00:00","3.53","0.86","0.08","0.33","1.34","2024-12-19T07:57:26.2364424Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098507+00:00","4.48","0.77","0.03","0.07","1.73","2024-12-19T07:57:26.2365018Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098585+00:00","5.08","0.92","0.23","0.18","1.91","2024-12-19T07:57:26.2365469Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098651+00:00","3.86","0.78","0.07","0.42","1.38","2024-12-19T07:57:26.2365864Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098716+00:00","4.89","0.98","0.1","0.51","1.58","2024-12-19T07:57:26.2366523Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098779+00:00","3.08","0.7","0.34","0.62","1.23","2024-12-19T07:57:26.2366965Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098840+00:00","3.97","0.83","0.24","0.23","1.93","2024-12-19T07:57:26.2367373Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098904+00:00","3.52","0.79","0.12","0.44","1.84","2024-12-19T07:57:26.2367749Z","1","2024-12-19T07:56:07.5340000Z","Record"
"2024-12-19T07:56:07.098964+00:00","3.05","0.99","0.03","0.18","1.26","2024-12-19T07:57:26.2368122Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099028+00:00","3.57","0.82","0","0.28","1.26","2024-12-19T07:57:26.2368519Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099088+00:00","4.45","0.83","0.33","0.74","1.6","2024-12-19T07:57:26.2368891Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099148+00:00","5.53","0.76","0.18","0.46","1.42","2024-12-19T07:57:26.2369299Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099295+00:00","5.04","0.74","0.09","0.41","1.78","2024-12-19T07:57:26.2369861Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099359+00:00","4.88","0.86","0","0.13","1.37","2024-12-19T07:57:26.2370681Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099420+00:00","3.1","0.73","0.21","0.67","1.67","2024-12-19T07:57:26.2371062Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099484+00:00","3.51","0.91","0.19","0.72","1.54","2024-12-19T07:57:26.2371650Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099548+00:00","4.44","0.76","0.25","0.06","1.8","2024-12-19T07:57:26.2372041Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099610+00:00","4.54","0.71","0.32","0.15","1.4","2024-12-19T07:57:26.2372435Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099671+00:00","3.24","0.94","0.25","0.29","1.82","2024-12-19T07:57:26.2373179Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099731+00:00","3.68","0.95","0.2","0.07","1.25","2024-12-19T07:57:26.2373712Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099797+00:00","3.35","0.66","0.27","0.3","1.79","2024-12-19T07:57:26.2374281Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099859+00:00","5.18","0.88","0.21","0.43","1.74","2024-12-19T07:57:26.2374831Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099919+00:00","4.33","0.93","0.04","0.05","1.4","2024-12-19T07:57:26.2375225Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.099981+00:00","3.67","0.79","0.02","0.54","1.84","2024-12-19T07:57:26.2375592Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.100040+00:00","5.6","0.83","0.18","0.55","1.58","2024-12-19T07:57:26.2375989Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.100099+00:00","5.79","0.77","0.32","0.23","1.52","2024-12-19T07:57:26.2376539Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.100159+00:00","3.04","0.94","0.3","0.16","1.35","2024-12-19T07:57:26.2376892Z","1","2024-12-19T07:56:07.6430000Z","Record"
"2024-12-19T07:56:07.100220+00:00","5.31","0.79","0.34","0.38","1.38","2024-12-19T07:57:26.2377252Z","1","2024-12-19T07:56:07.7520000Z","Record"
"2024-12-19T07:56:07.100277+00:00","5.98","0.71","0.28","0.08","1.88","2024-12-19T07:57:26.2377636Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.100411+00:00","5.26","0.94","0.3","0.77","1.4","2024-12-19T07:57:26.2378202Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.100470+00:00","4.25","0.77","0.16","0.19","1.37","2024-12-19T07:57:26.2378591Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.100527+00:00","3.52","0.93","0.3","0.33","1.58","2024-12-19T07:57:26.2378940Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.100590+00:00","3.82","0.84","0.31","0.27","1.87","2024-12-19T07:57:26.2379521Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.100646+00:00","4.83","0.93","0.31","0.29","1.4","2024-12-19T07:57:26.2380140Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.100724+00:00","3.96","0.77","0.09","0.33","1.3","2024-12-19T07:57:26.2380494Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.100779+00:00","4.67","0.66","0.3","0.2","1.6","2024-12-19T07:57:26.2380859Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.100832+00:00","4.43","0.76","0.03","0.06","1.74","2024-12-19T07:57:26.2381353Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.100885+00:00","3.94","0.73","0.07","0.72","1.26","2024-12-19T07:57:26.2382043Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.100935+00:00","3.22","0.77","0.25","0.5","1.92","2024-12-19T07:57:26.2382413Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.100990+00:00","3.51","0.74","0.04","0.55","1.62","2024-12-19T07:57:26.2382773Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.101041+00:00","5.55","0.99","0.3","0.48","1.38","2024-12-19T07:57:26.2383164Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.101095+00:00","3.83","0.95","0.05","0.31","1.7","2024-12-19T07:57:26.2383527Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.101145+00:00","3.94","0.85","0.17","0.39","1.38","2024-12-19T07:57:26.2383907Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.101194+00:00","4.84","0.65","0.2","0.5","1.85","2024-12-19T07:57:26.2384267Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.101245+00:00","4.52","0.73","0.06","0.19","1.59","2024-12-19T07:57:26.2384622Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.101300+00:00","4.06","0.69","0.24","0.45","1.34","2024-12-19T07:57:26.2384997Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.101426+00:00","5.16","0.91","0.16","0.53","1.86","2024-12-19T07:57:26.2385354Z","1","2024-12-19T07:56:07.8770000Z","Record"
"2024-12-19T07:56:07.101480+00:00","5.5","0.83","0.01","0.66","1.74","2024-12-19T07:57:26.2386074Z","1","2024-12-19T07:56:07.9870000Z","Record"
"2024-12-19T07:56:07.101534+00:00","4.02","0.66","0.25","0.48","1.54","2024-12-19T07:57:26.2386462Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.101589+00:00","3.53","0.91","0.25","0.75","1.91","2024-12-19T07:57:26.2386836Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.101659+00:00","5.36","0.8","0.24","0.49","1.95","2024-12-19T07:57:26.2387221Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.101710+00:00","4.23","0.71","0.16","0.61","1.4","2024-12-19T07:57:26.2388127Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.101765+00:00","3.48","0.84","0.17","0.57","1.47","2024-12-19T07:57:26.2388899Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.101822+00:00","5.63","0.98","0.22","0.09","1.28","2024-12-19T07:57:26.2389648Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.101877+00:00","4.98","0.93","0.13","0.35","1.64","2024-12-19T07:57:26.2390024Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.101932+00:00","5.59","0.88","0.1","0.73","1.26","2024-12-19T07:57:26.2390412Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.101985+00:00","3.68","0.78","0.29","0.15","1.32","2024-12-19T07:57:26.2390779Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.102039+00:00","5.88","0.71","0.2","0.27","1.5","2024-12-19T07:57:26.2391141Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.102091+00:00","5.5","0.9","0.1","0.31","1.49","2024-12-19T07:57:26.2391528Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.102141+00:00","4.34","0.78","0.21","0.11","1.48","2024-12-19T07:57:26.2391895Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.102196+00:00","5.07","0.95","0.08","0.54","1.36","2024-12-19T07:57:26.2392263Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.102300+00:00","5.34","0.74","0.02","0.25","1.49","2024-12-19T07:57:26.2392644Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.102346+00:00","5.85","0.75","0.02","0.3","1.34","2024-12-19T07:57:26.2393005Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.102393+00:00","4.52","0.95","0.17","0.06","1.58","2024-12-19T07:57:26.2393366Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.102444+00:00","4.44","0.86","0.03","0.69","1.23","2024-12-19T07:57:26.2393742Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.102491+00:00","5.26","0.71","0.15","0.27","1.4","2024-12-19T07:57:26.2394100Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.102534+00:00","4.65","0.67","0.16","0.54","1.24","2024-12-19T07:57:26.2394461Z","1","2024-12-19T07:56:08.1120000Z","Record"
"2024-12-19T07:56:07.102579+00:00","3.45","0.68","0.22","0.36","1.73","2024-12-19T07:57:26.2394833Z","1","2024-12-19T07:56:08.2210000Z","Record"
"2024-12-19T07:56:07.102625+00:00","4.64","0.67","0.31","0.32","1.61","2024-12-19T07:57:26.2395188Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.102672+00:00","5.24","0.89","0.05","0.54","1.5","2024-12-19T07:57:26.2395552Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.102719+00:00","3.4","0.75","0.32","0.26","1.62","2024-12-19T07:57:26.2395928Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.102768+00:00","5.9","0.96","0.05","0.36","1.88","2024-12-19T07:57:26.2396323Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.102815+00:00","3.43","0.9","0.11","0.61","1.68","2024-12-19T07:57:26.2396688Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.102861+00:00","4","0.94","0.07","0.15","1.65","2024-12-19T07:57:26.2397049Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.102904+00:00","5.65","0.92","0.24","0.54","1.42","2024-12-19T07:57:26.2397428Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.102952+00:00","3.66","0.91","0.35","0.38","1.4","2024-12-19T07:57:26.2397792Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.103000+00:00","4.57","0.69","0.3","0.67","1.62","2024-12-19T07:57:26.2398153Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.103100+00:00","4.71","0.71","0.15","0.43","1.32","2024-12-19T07:57:26.2398530Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.103150+00:00","4.32","0.94","0.31","0.05","1.4","2024-12-19T07:57:26.2398883Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.103201+00:00","3.17","0.98","0.16","0.52","1.86","2024-12-19T07:57:26.2399388Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.103255+00:00","5.76","0.91","0.23","0.73","1.9","2024-12-19T07:57:26.2399812Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.103305+00:00","5.01","0.66","0.11","0.16","1.47","2024-12-19T07:57:26.2400194Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.103353+00:00","4.62","0.71","0.03","0.6","1.34","2024-12-19T07:57:26.2400546Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.103416+00:00","5.3","0.85","0.2","0.63","1.78","2024-12-19T07:57:26.2400905Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.103463+00:00","3.74","0.65","0.31","0.19","1.43","2024-12-19T07:57:26.2401284Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.103507+00:00","4.3","0.96","0.03","0.23","1.91","2024-12-19T07:57:26.2401821Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:07.103554+00:00","4.63","0.75","0.05","0.5","1.8","2024-12-19T07:57:26.2402177Z","1","2024-12-19T07:56:08.3460000Z","Record"
"2024-12-19T07:56:09.207683+00:00","5.06","0.82","0.15","0.19","1.78","2024-12-19T07:57:26.2403022Z","1","2024-12-19T07:56:09.4400000Z","Record"
"2024-12-19T07:56:09.208281+00:00","4.48","0.73","0.09","0.43","1.59","2024-12-19T07:57:26.2403388Z","1","2024-12-19T07:56:09.5650000Z","Record"
"2024-12-19T07:56:09.208395+00:00","4.89","0.9","0.12","0.31","1.52","2024-12-19T07:57:26.2403927Z","1","2024-12-19T07:56:09.5650000Z","Record"
"2024-12-19T07:56:09.208468+00:00","4.08","0.76","0.03","0.3","1.82","2024-12-19T07:57:26.2404505Z","1","2024-12-19T07:56:09.5650000Z","Record"
"2024-12-19T07:56:09.208532+00:00","3.64","0.88","0.25","0.49","1.68","2024-12-19T07:57:26.2404889Z","1","2024-12-19T07:56:09.5650000Z","Record"
"2024-12-19T07:56:09.208593+00:00","5.94","0.73","0.22","0.22","1.74","2024-12-19T07:57:26.2405424Z","1","2024-12-19T07:56:09.5650000Z","Record"
"2024-12-19T07:56:09.208814+00:00","5.45","0.66","0.34","0.26","1.48","2024-12-19T07:57:26.2405813Z","1","2024-12-19T07:56:09.5650000Z","Record"
"2024-12-19T07:56:09.208872+00:00","3.14","0.65","0.23","0.32","1.39","2024-12-19T07:57:26.2406180Z","1","2024-12-19T07:56:09.5650000Z","Record"
"2024-12-19T07:56:09.208922+00:00","5.32","0.68","0.32","0.08","1.23","2024-12-19T07:57:26.2406552Z","1","2024-12-19T07:56:09.5650000Z","Record"
"2024-12-19T07:56:09.208969+00:00","4.69","0.66","0.21","0.68","1.51","2024-12-19T07:57:26.2407305Z","1","2024-12-19T07:56:09.5650000Z","Record"
